"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CURD test","Create a new booking","SUCCESS","2023-01-09T20:02:19.152Z[Europe/London]","0.0","4.95"
"Booking CURD test","Get the booking","SUCCESS","2023-01-09T20:02:24.144Z[Europe/London]","0.0","0.61"
"Booking CURD test","Update the booking","SUCCESS","2023-01-09T20:02:24.754Z[Europe/London]","0.0","1.03"
"Booking CURD test","Update the partial booking","SUCCESS","2023-01-09T20:02:25.781Z[Europe/London]","0.0","0.96"
"Booking CURD test","Delete the booking","SUCCESS","2023-01-09T20:02:26.739Z[Europe/London]","0.0","1.04"
"Booking data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-09T20:02:31.620Z[Europe/London]","0.0","14.41"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource","FAILURE","2023-01-09T20:02:31.784Z[Europe/London]","0.0","0.48"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-09T20:02:32.266Z[Europe/London]","0.0","0.98"
"Testing different request on the restful booker app","As a user I am creating authorization token","SUCCESS","2023-01-09T20:02:33.777Z[Europe/London]","0.0","0.73"
"Testing different request on the restful booker app","As a user I am creating booking and verify booking is made","SUCCESS","2023-01-09T20:02:34.592Z[Europe/London]","0.0","2.31"
"Testing different request on the restful booker app","As a user I update a booking with firstName","SUCCESS","2023-01-09T20:02:36.929Z[Europe/London]","0.0","0.51"
"Testing different request on the restful booker app","As a user I updated partial booking with lastName","SUCCESS","2023-01-09T20:02:37.464Z[Europe/London]","0.0","0.55"
"Testing different request on the restful booker app","As a user I delete the booking","SUCCESS","2023-01-09T20:02:38.118Z[Europe/London]","0.0","0.94"
"Testing different request on the restful booker app","CRUD Test","SUCCESS","2023-01-09T20:02:39.122Z[Europe/London]","0.0","4.88"
